Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777588916,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777588917,10,,Aggregated,0.000000,0.000000,890,890,890,890,890,890,890,890,890,890,890,2,0,422.2756000017398,655.5903999978909,422.2756000017398,888.905199994042,61.0
1777588918,30,,Aggregated,0.000000,0.000000,1400,1400,1800,1800,1800,1800,1800,1800,1800,1800,1800,4,0,890.0,1135.3937499970925,422.2756000017398,1839.8460999960662,61.0
1777588919,40,,Aggregated,0.000000,0.000000,1400,1800,1800,2200,2200,2200,2200,2200,2200,2200,2200,5,0,1400.0,1358.1504599977052,422.2756000017398,2249.177300000156,61.0
1777588920,50,,Aggregated,1.500000,0.000000,2600,3200,3200,3600,3900,3900,3900,3900,3900,3900,3900,13,0,2600.0,2395.5803769215263,422.2756000017398,3875.6353999997373,65.07692307692308
1777588921,50,,Aggregated,1.666667,0.000000,2600,3200,3600,3600,3900,4900,4900,4900,4900,4900,4900,16,0,2200.0,2438.529412499065,422.2756000017398,4924.72760000237,64.9375
1777588922,50,,Aggregated,2.000000,0.000000,2200,3200,3200,3600,3900,4900,4900,4900,4900,4900,4900,17,0,2200.0,2426.394729410651,422.2756000017398,4924.72760000237,64.70588235294117
1777588923,50,,Aggregated,2.000000,0.000000,2200,3200,3200,3600,3900,4900,4900,4900,4900,4900,4900,17,0,2200.0,2426.394729410651,422.2756000017398,4924.72760000237,64.70588235294117
1777588924,50,,Aggregated,2.666667,0.000000,3200,3400,3900,4900,6400,7100,7100,7100,7100,7100,7100,27,0,3200.0,3278.0552481479526,422.2756000017398,7095.673600000737,64.92592592592592
1777588925,50,,Aggregated,2.666667,0.000000,3200,3400,3900,4900,6400,7100,7500,7500,7500,7500,7500,31,0,3200.0,3394.6613967740223,422.2756000017398,7515.083400001458,64.7741935483871
1777588926,50,,Aggregated,2.666667,0.000000,3200,3400,3900,4900,6400,7100,7500,7500,7500,7500,7500,31,0,3200.0,3394.6613967740223,422.2756000017398,7515.083400001458,64.7741935483871
1777588927,50,,Aggregated,3.444444,0.000000,3200,3400,3900,4900,7100,9500,9500,9500,9500,9500,9500,38,0,3100.0,3596.051107894853,422.2756000017398,9527.872400001797,64.28947368421052
1777588928,50,,Aggregated,3.100000,0.000000,3200,3600,4900,6000,7500,9500,11000,11000,11000,11000,11000,44,0,3200.0,3958.8717090909167,422.2756000017398,10886.558699996385,64.5909090909091
1777588929,50,,Aggregated,3.100000,0.000000,3200,3900,4800,5200,7500,9500,11000,11000,11000,11000,11000,49,0,3200.0,3981.1470428571088,422.2756000017398,10886.558699996385,65.12244897959184
1777588930,50,,Aggregated,3.500000,0.000000,3300,4500,4900,5200,7500,11000,11000,13000,13000,13000,13000,54,0,3200.0,4139.085131481369,422.2756000017398,12779.283099996974,65.35185185185185
1777588931,50,,Aggregated,3.500000,0.000000,3200,4500,4900,5200,7500,11000,11000,13000,13000,13000,13000,55,0,3200.0,4096.269223636244,422.2756000017398,12779.283099996974,65.27272727272727
1777588932,50,,Aggregated,4.500000,0.000000,3300,4800,5300,6400,11000,13000,14000,14000,14000,14000,14000,64,0,3300.0,4686.140192187395,422.2756000017398,13868.339499997091,65.328125
1777588933,50,,Aggregated,4.500000,0.000000,3300,4800,5300,6400,11000,13000,14000,14000,14000,14000,14000,64,0,3300.0,4686.140192187395,422.2756000017398,13868.339499997091,65.328125
1777588934,50,,Aggregated,4.100000,0.000000,3600,5100,5500,6500,11000,13000,14000,16000,16000,16000,16000,75,0,3600.0,4873.309537333262,422.2756000017398,15689.733699997305,65.70666666666666
1777588935,50,,Aggregated,4.100000,0.000000,3600,5100,5500,6400,11000,13000,14000,16000,16000,16000,16000,76,0,3500.0,4844.717605263118,422.2756000017398,15689.733699997305,65.63157894736842
1777588936,50,,Aggregated,4.700000,0.000000,3900,5200,6000,6400,11000,13000,16000,17000,17000,17000,17000,84,0,3700.0,5021.844780952441,422.2756000017398,17258.79089999944,65.95238095238095
1777588937,50,,Aggregated,4.600000,0.000000,3600,5200,5700,6400,11000,13000,16000,17000,17000,17000,17000,87,0,3600.0,4943.451985057551,422.2756000017398,17258.79089999944,65.7816091954023
1777588938,50,,Aggregated,5.300000,0.000000,3900,5300,6300,6500,13000,14000,20000,20000,20000,20000,20000,90,0,3700.0,5296.932492222307,422.2756000017398,20086.50630000193,65.86666666666666
1777588939,50,,Aggregated,5.000000,0.000000,3900,5200,6000,6500,11000,14000,20000,20000,20000,20000,20000,95,0,3900.0,5268.403930526448,422.2756000017398,20086.50630000193,65.57894736842105
1777588940,50,,Aggregated,5.000000,0.000000,3900,5200,6000,6500,11000,14000,20000,20000,20000,20000,20000,95,0,3900.0,5268.403930526448,422.2756000017398,20086.50630000193,65.57894736842105
1777588941,50,,Aggregated,4.100000,0.000000,4800,5500,6500,7500,13000,17000,22000,23000,23000,23000,23000,110,0,4800.0,5914.184562727511,422.2756000017398,22799.840799998492,65.72727272727273
1777588942,50,,Aggregated,4.100000,0.000000,4800,5700,7000,7500,13000,20000,22000,23000,23000,23000,23000,115,0,4800.0,6087.291849565466,422.2756000017398,22799.840799998492,65.80869565217391
1777588943,50,,Aggregated,4.100000,0.000000,4800,5700,7000,7500,13000,20000,22000,23000,23000,23000,23000,115,0,4800.0,6087.291849565466,422.2756000017398,22799.840799998492,65.80869565217391
1777588944,50,,Aggregated,5.800000,0.000000,4800,5700,7000,7500,13000,17000,22000,23000,23000,23000,23000,123,0,4800.0,6048.981339837767,422.2756000017398,22799.840799998492,65.67479674796748
1777588945,50,,Aggregated,5.800000,0.000000,4800,5700,7000,7500,13000,17000,22000,23000,23000,23000,23000,123,0,4800.0,6048.981339837767,422.2756000017398,22799.840799998492,65.67479674796748
1777588946,50,,Aggregated,4.500000,0.000000,4900,5500,6900,7500,13000,20000,23000,23000,27000,27000,27000,130,0,4900.0,6160.503554615792,422.2756000017398,26608.931499999017,65.42307692307692
1777588947,50,,Aggregated,4.500000,0.000000,4900,5500,6900,7500,13000,20000,23000,23000,27000,27000,27000,130,0,4900.0,6160.503554615792,422.2756000017398,26608.931499999017,65.42307692307692
1777588948,50,,Aggregated,4.000000,0.000000,5100,5800,7100,8500,13000,20000,23000,27000,28000,28000,28000,139,0,5100.0,6417.576540288043,422.2756000017398,28380.39349999599,65.53237410071942
1777588949,50,,Aggregated,4.300000,0.000000,5100,6000,7400,8500,13000,20000,27000,28000,30000,30000,30000,143,0,5100.0,6572.543738461824,422.2756000017398,29772.215900004085,65.48251748251748
1777588950,50,,Aggregated,4.800000,0.000000,5200,6400,8200,8700,13000,22000,27000,30000,31000,31000,31000,151,0,5200.0,6844.940472185681,422.2756000017398,31194.692699995358,65.82119205298014
1777588951,50,,Aggregated,4.800000,0.000000,5200,6300,8100,8700,13000,22000,27000,30000,31000,31000,31000,154,0,5200.0,6790.817527922391,422.2756000017398,31194.692699995358,65.72727272727273
1777588952,50,,Aggregated,4.800000,0.000000,5200,6400,8500,8900,13000,22000,28000,31000,33000,33000,33000,157,0,5200.0,7002.220112102201,422.2756000017398,33088.65569999762,65.77707006369427
